symbol,tradetime,open,high,low,close,volume
TSLA,2016-10-12 14:26:00,198.74,200.5,198.58,200.425,94208
TSLA,2016-10-12 14:28:00,198.79,199.06,198.37,198.6,56070
TSLA,2016-10-12 14:30:00,199.02,199.5,198.56,198.784,35394
TSLA,2016-10-12 14:32:00,198.3201,199.14,198.31,198.94,32559
TSLA,2016-10-12 14:34:00,199.49,199.49,198.42,198.43,35625
TSLA,2016-10-12 14:36:00,199.04,199.71,199,199.54,18197
TSLA,2016-10-12 14:38:00,199.1,199.24,199,199.13,9332
TSLA,2016-10-12 14:40:00,199.37,199.71,199.14,199.16,22744
TSLA,2016-10-12 14:42:00,199.49,199.49,199.26,199.4275,5650
TSLA,2016-10-12 14:44:00,199.69,199.75,199.4311,199.51,5081
TSLA,2016-10-12 14:46:00,199.21,199.88,199.14,199.71,17854
TSLA,2016-10-12 14:48:00,199.115,199.52,199.07,199.298,11676
TSLA,2016-10-12 14:50:00,199.97,199.98,199.1932,199.1932,7499
TSLA,2016-10-12 14:52:00,199.36,199.97,199.31,199.97,3120
TSLA,2016-10-12 14:54:00,199.52,199.59,199.2414,199.36,10383
TSLA,2016-10-12 14:56:00,199.72,199.99,199.58,199.58,8304
TSLA,2016-10-12 14:58:00,199.47,199.85,199.47,199.655,6198
TSLA,2016-10-12 15:00:00,199.39,199.63,199.35,199.5,6953
TSLA,2016-10-12 15:02:00,199.21,199.4825,199.21,199.44,6554
TSLA,2016-10-12 15:04:00,199.43,199.43,199.11,199.22,7061
TSLA,2016-10-12 15:06:00,199.855,199.99,199.38,199.53,22247
TSLA,2016-10-12 15:08:00,200.815,200.83,199.7095,199.9699,22744
TSLA,2016-10-12 15:10:00,200.1878,200.795,200.08,200.67,13522
TSLA,2016-10-12 15:12:00,200.1845,200.23,199.95,200.1,3350
TSLA,2016-10-12 15:14:00,200.58,200.655,200.11,200.12,8500
TSLA,2016-10-12 15:16:00,200.735,200.76,200.26,200.5,13019
TSLA,2016-10-12 15:18:00,200.41,200.6725,200.41,200.6725,2647
TSLA,2016-10-12 15:20:00,200.38,200.59,200.17,200.5254,9281
TSLA,2016-10-12 15:22:00,200.17,200.32,200.05,200.32,5700
TSLA,2016-10-12 15:24:00,200.1466,200.4,200.01,200.0676,6798
TSLA,2016-10-12 15:26:00,200.96,200.96,200.272,200.272,12839
TSLA,2016-10-12 15:28:00,200.67,200.94,200.54,200.91,9694
TSLA,2016-10-12 15:30:00,200.45,200.655,200.21,200.655,6934
TSLA,2016-10-12 15:32:00,200.41,200.7,200.4,200.4,18162
TSLA,2016-10-12 15:34:00,200.185,200.48,200.185,200.455,6000
