symbol | tradetime           | close    | high     | low      | open     | volume
GOOG | 2016-10-12 17:18:00 |   782.83 |   784.03 |   782.83 |   783.73 |   9425
GOOG | 2016-10-12 17:20:00 |   783.83 |   784.41 |   783.83 |   784.01 |   5172
GOOG | 2016-10-12 17:22:00 |   783.99 |   784.01 |   783.99 |   784.01 |    300
GOOG | 2016-10-12 17:24:00 |   784.15 |   784.55 |   784.15 |   784.55 |   1300
GOOG | 2016-10-12 17:26:00 |  784.331 |  784.331 |  784.331 |  784.331 |    220
GOOG | 2016-10-12 17:28:00 |   784.26 |   784.78 |   784.26 |   784.59 |   1800
GOOG | 2016-10-12 17:30:00 |    784.4 |   784.98 |    784.4 |    784.5 |   1000
GOOG | 2016-10-12 17:32:00 |   783.66 |   784.36 |   783.66 |   783.66 |   2652
GOOG | 2016-10-12 17:34:00 |   783.45 |   784.08 |   783.45 |   784.08 |   1100
GOOG | 2016-10-12 17:36:00 |  783.825 |   784.05 |  783.825 |  783.825 |    900
GOOG | 2016-10-12 17:38:00 | 783.8116 |   784.16 | 783.8116 |      784 |   1600
GOOG | 2016-10-12 17:40:00 |  783.096 |   783.76 |  783.096 |  783.096 |   8900
GOOG | 2016-10-12 17:42:00 |   783.28 |  783.655 |   783.28 |  783.655 |   1000
GOOG | 2016-10-12 17:44:00 |   783.19 |  783.635 |   783.19 |   783.19 |    400
GOOG | 2016-10-12 17:46:00 |   782.54 | 783.2429 |   782.54 |  782.625 |   2708
GOOG | 2016-10-12 17:48:00 |   782.52 |   783.11 |   782.52 |   783.05 |   2892
GOOG | 2016-10-12 17:50:00 |    782.5 |  782.988 |    782.5 |    782.5 |   2776
GOOG | 2016-10-12 17:52:00 |   782.63 |   782.94 |   782.63 |   782.63 |    700
GOOG | 2016-10-12 17:54:00 |   782.69 |   783.11 |   782.69 |   782.81 |   1500
GOOG | 2016-10-12 17:56:00 |   782.76 |   783.24 |   782.76 |   782.76 |   1600
GOOG | 2016-10-12 17:58:00 |   782.57 |   783.01 |   782.57 |   782.57 |   3430
GOOG | 2016-10-12 18:00:00 |   782.17 | 782.8243 |   782.17 |   782.28 |   3471
GOOG | 2016-10-12 18:02:00 |   782.31 |   782.68 |   782.31 |    782.4 |   1044
GOOG | 2016-10-12 18:04:00 |   782.49 |   782.74 |   782.49 |   782.52 |    800
